"module","output_type","expected_files","existing_files","missing_files","total_size_bytes"
"01_load_and_clean_data","processed_data",4,4,0,66202964
"02_descriptive_statistics","figure",3,3,0,649281
"02_descriptive_statistics","table_csv",7,7,0,97455
"03_cross_sectional_predictors","figure",1,1,0,622548
"03_cross_sectional_predictors","table_csv",5,5,0,3201
"04_crypto_factor_model","figure",1,1,0,137481
"04_crypto_factor_model","table_csv",4,4,0,1078062
"05_memecoin_vs_conventional_analysis","figure",3,3,0,735573
"05_memecoin_vs_conventional_analysis","processed_data",4,4,0,783680
"06_google_trends_attention_models","table_csv",4,0,4,0
"07_macro_sentiment_hashrate_models","figure",1,1,0,298495
"07_macro_sentiment_hashrate_models","processed_data",1,1,0,129074
"07_macro_sentiment_hashrate_models","table_csv",3,3,0,8025
"08_network_factors_models","figure",2,2,0,600944
"08_network_factors_models","processed_data",2,2,0,194477
"08_network_factors_models","table_csv",3,3,0,3169
"project_level","figure",1,1,0,206321
"project_level","processed_data",1,1,0,32319
"project_level","table_csv",3,3,0,12706
